matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
FullChip,double,2987012,26621990,8.91258,no,no,0.299367,0.270501,0.318491,0.297427,0.235357,9.23334,9.01182,7.26234,3.79807,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,double,2987012,26621990,8.91258,no,yes,0.299515,0.270485,0.33421,0.346716,0.219038,9.24984,10.2024,8.10355,3.16654,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,float,2987012,26621990,8.91258,no,yes,0.310925,0.27081,0.363105,0.40937,0.290058,11.276,14.0888,13.8135,6.76392,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
FullChip,float,2987012,26621990,8.91258,no,no,0.310988,0.270811,0.332323,0.32085,0.285435,11.2787,13.787,13.1993,7.63851,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
FullChip,double,2987012,26621990,8.91258,yes,no,0.299363,0.270512,0.318471,0.297449,0.235347,9.31527,10.253,7.27147,3.65486,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,double,2987012,26621990,8.91258,yes,yes,0.299325,0.270498,0.334224,0.346735,0.227531,9.28175,10.1985,8.08776,3.4002,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,float,2987012,26621990,8.91258,yes,yes,0.31086,0.270806,0.36314,0.409556,0.277981,11.2523,14.0713,13.8113,6.7606,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
FullChip,float,2987012,26621990,8.91258,yes,no,0.31104,0.270838,0.332261,0.320857,0.285451,11.2713,13.8674,13.1927,7.63888,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
Hook,double,1498023,60917445,40.6652,no,no,0.357132,0.782878,1.01919,0.895615,0.726543,33.8397,41.7636,37.3861,31.0985,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,double,1498023,60917445,40.6652,no,yes,0.357092,0.782958,1.04443,1.02678,0.666117,33.7466,42.3542,41.6497,28.6212,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,float,1498023,60917445,40.6652,no,yes,0.361576,0.891541,1.23446,1.39388,0.959323,40.1355,53.93,59.8296,42.6655,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
Hook,float,1498023,60917445,40.6652,no,no,0.361585,0.891538,1.21451,1.13484,1.00631,39.9935,53.343,28.0474,44.6883,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
Hook,double,1498023,60917445,40.6652,yes,no,0.357142,0.783113,1.02004,0.896269,0.726736,33.7357,42.1165,37.2292,31.1146,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,double,1498023,60917445,40.6652,yes,yes,0.357144,0.783076,1.04428,1.0261,0.66088,33.7774,42.4003,41.7811,28.6668,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,float,1498023,60917445,40.6652,yes,yes,0.361609,0.891661,1.23442,1.39385,0.999811,40.0212,53.9933,59.7779,42.5604,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
Hook,float,1498023,60917445,40.6652,yes,no,0.361548,0.891334,1.21451,1.13455,1.00582,39.7301,53.1973,32.9741,44.5567,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
in-2004,double,1382908,16917053,12.233,no,no,0.335267,0.456975,0.593881,0.596667,0.52798,14.2272,19.0015,19.7542,17.9517,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,double,1382908,16917053,12.233,no,yes,0.335251,0.456876,0.613492,0.711336,0.506262,14.158,18.4762,23.7783,17.1808,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,float,1382908,16917053,12.233,no,yes,0.340553,0.465219,0.682487,0.860941,0.645475,13.9903,22.4979,26.4892,22.8979,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
in-2004,float,1382908,16917053,12.233,no,no,0.340574,0.465225,0.627759,0.637903,0.624212,13.9971,21.1354,19.1597,21.3286,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
