matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,MKL,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
pdb1HYS,float,36417,4344765,119.306,no,no,1.63448,2.91648,6.82764,6.5418,6.31419,5.88676,89.0987,97.5654,99.8022,86.6284,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pdb1HYS,double,36417,4344765,119.306,yes,no,1.30085,2.26065,2.83828,3.46854,3.49089,3.3673,57.9856,67.3169,71.2677,63.0387,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
pdb1HYS,float,36417,4344765,119.306,yes,no,1.65435,2.8129,6.19731,7.55694,7.1678,6.64014,86.3022,99.0474,101.743,90.318,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pwtk,double,217918,11634424,53.389,no,no,1.49192,2.06803,2.71831,3.17401,3.17847,3.16762,53.7338,51.0413,52.5176,59.6576,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,float,217918,11634424,53.389,no,no,1.82091,2.50057,4.47517,5.53548,5.83821,5.54713,82.6704,95.6504,104.645,96.4304,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
pwtk,double,217918,11634424,53.389,yes,no,1.49331,2.07776,2.7164,3.16616,3.21369,3.1857,51.3205,50.5947,47.1166,51.2028,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,float,217918,11634424,53.389,yes,no,1.82572,2.50395,4.49656,5.59863,6.11115,5.87026,81.6693,100.811,113.553,104.792,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
RM07R,double,381689,37464962,98.1557,no,no,1.25555,1.90977,2.47972,2.59693,2.52963,2.32225,47.0408,48.3889,48.0593,45.4834,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,float,381689,37464962,98.1557,no,no,1.58846,2.52912,3.99795,4.20649,4.052,3.79709,82.9421,73.1041,71.1623,63.3508,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
RM07R,double,381689,37464962,98.1557,yes,no,1.25499,1.90348,2.48551,2.62389,2.55223,2.33426,46.4062,47.1024,47.42,38.9239,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,float,381689,37464962,98.1557,yes,no,1.59367,2.53447,3.99231,4.24402,4.17562,3.88912,77.9845,76.3153,68.5714,63.7818,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
Serena,double,1391349,64531701,46.3807,no,no,1.41393,1.83674,2.16215,2.25165,2.20909,1.95338,37.071,41.2747,41.4803,40.817,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,float,1391349,64531701,46.3807,no,no,1.76918,2.318,3.26698,3.35278,3.34334,2.83212,62.3619,69.6922,69.9344,62.7671,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Serena,double,1391349,64531701,46.3807,yes,no,1.40178,1.82207,2.12253,2.2339,2.19522,1.93445,36.9022,40.1458,40.5572,39.8745,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,float,1391349,64531701,46.3807,yes,no,1.78317,2.32589,3.27227,3.40264,3.44899,2.92452,61.9584,73.626,69.795,62.6697,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Si41Ge41H72,double,185639,15011265,80.8627,no,no,1.29142,1.96634,1.83147,2.1326,2.19889,1.98459,33.0791,35.9624,34.1515,31.192,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,float,185639,15011265,80.8627,no,no,1.49466,2.54622,2.35235,2.86534,2.79319,2.54941,43.4286,37.6518,40.6511,33.7756,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si41Ge41H72,double,185639,15011265,80.8627,yes,no,1.28488,1.96408,1.83828,2.1386,2.20259,1.97305,35.9127,32.6115,33.9738,30.7577,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,float,185639,15011265,80.8627,yes,no,1.50024,2.5594,2.35934,2.89929,2.82964,2.62075,42.9279,38.6098,37.7471,34.9465,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si87H76,double,240369,10661631,44.3553,no,no,1.39166,1.89799,1.42145,1.73043,1.81917,1.67484,28.7966,24.5177,27.2596,26.1586,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,float,240369,10661631,44.3553,no,no,1.71205,2.38008,1.68513,2.12215,2.04718,1.98501,26.7239,26.8759,27.1633,25.8923,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
Si87H76,double,240369,10661631,44.3553,yes,no,1.3931,1.91867,1.42436,1.72707,1.83353,1.68107,28.3364,24.8324,27.2861,26.1065,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,float,240369,10661631,44.3553,yes,no,1.72231,2.37851,1.68728,2.15725,2.094,2.04788,27.2331,28.3416,26.9349,27.7595,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
spal,double,10203,46168124,4524.96,no,no,0.908298,1.28332,1.50476,1.68663,1.56357,1.2957,39.1858,42.8408,39.6327,35.6813,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,float,10203,46168124,4524.96,no,no,1.14823,1.76663,2.79512,3.03602,2.87468,2.31021,70.0116,65.1662,63.4458,58.1948,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
spal,double,10203,46168124,4524.96,yes,no,0.947493,1.31028,1.50745,1.69533,1.57783,1.30251,38.7533,42.512,39.5398,35.3456,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,float,10203,46168124,4524.96,yes,no,1.15632,1.76787,2.79057,3.0336,2.87709,2.32397,68.0659,67.7734,62.0468,52.9462,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
torso1,double,116158,8516500,73.3182,no,no,1.23188,1.9791,2.64929,3.05377,3.12921,2.93466,46.9633,54.311,55.9048,50.0624,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,float,116158,8516500,73.3182,no,no,1.33377,2.67311,4.79925,5.82099,6.21062,5.91851,89.4911,105.714,111.709,106.878,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
torso1,double,116158,8516500,73.3182,yes,no,1.23359,1.98624,2.68133,3.1,3.19464,2.96192,49.2069,56.0082,59.9109,50.5611,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,float,116158,8516500,73.3182,yes,no,1.334,2.67175,4.81276,5.96699,6.33024,6.23406,89.769,105.999,116.916,107.337,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
TSOPF,double,38120,16171169,424.217,no,no,1.21054,2.11346,3.04795,3.21435,3.2504,3.22744,60.729,54.5258,54.6038,57.2693,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,float,38120,16171169,424.217,no,no,1.31978,2.87542,5.89601,6.613,6.63533,6.53163,120.788,123.062,125.695,122.753,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
TSOPF,double,38120,16171169,424.217,yes,no,1.20917,2.11614,3.03719,3.23163,3.22275,3.25349,62.0541,54.333,55.3914,62.1428,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,float,38120,16171169,424.217,yes,no,1.32174,2.87925,5.91622,6.61985,6.70095,6.65379,122.343,121.405,123.782,122.903,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
wikipedia-20060925,double,2983494,37269096,12.4918,no,no,0.444534,0.445959,0.25957,0.219669,0.197038,0.140278,7.74678,6.91629,6.44821,4.69069,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,float,2983494,37269096,12.4918,no,no,0.518598,0.468519,0.297995,0.271975,0.238752,0.156124,9.26173,8.75372,7.78486,5.23292,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
wikipedia-20060925,double,2983494,37269096,12.4918,yes,no,0.444166,0.446685,0.259693,0.221269,0.198346,0.140956,7.81429,6.94771,6.50839,4.78412,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,float,2983494,37269096,12.4918,yes,no,0.526123,0.473583,0.298996,0.274024,0.246334,0.161102,9.4055,8.74891,7.96707,5.40099,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
